match_id,direction,g14,g17,res
2032790,up,deep,deep,A
2032791,down,shallow,deep,B
2032793,down,deep,,A
2032796,down,,deep,P
2032799,down,deep,shallow,B
2032811,down,deep,shallow,B
2032813,down,deep,deep,B
2032815,down,deep,deep,A
2032822,down,deep,deep,B
2032824,down,shallow,deep,B
2032829,down,deep,shallow,B
2032831,up,deep,deep,B
2032834,down,deep,shallow,B
2032836,down,deep,deep,B
2032844,down,deep,shallow,B
2032846,down,deep,shallow,B
2032851,down,shallow,deep,B
2032854,up,deep,deep,A
2032860,down,deep,shallow,B
2032863,down,deep,shallow,A
2032864,down,deep,shallow,P
2032866,down,deep,deep,B
2032869,down,shallow,shallow,B
2032875,down,shallow,shallow,B
2032881,down,deep,shallow,B
2032882,down,deep,shallow,B
2032884,down,shallow,,B
2032886,up,deep,shallow,A
2032889,down,deep,deep,B
2032896,down,shallow,deep,A
2032900,down,deep,deep,A
2032902,down,deep,shallow,B
2032912,up,deep,shallow,A
2032913,down,deep,deep,B
2032915,down,deep,deep,A
2032916,up,deep,deep,A
2032920,down,deep,shallow,B
2032921,down,shallow,shallow,B
2032927,up,deep,shallow,A
2032936,down,shallow,deep,B
2032937,down,deep,deep,B
2032940,up,deep,deep,A
2032941,down,shallow,,A
2032948,down,shallow,shallow,B
2032950,down,shallow,deep,B
2032952,down,shallow,deep,A
2032955,down,deep,deep,B
2032958,up,shallow,shallow,A
2032964,down,shallow,deep,B
2032968,up,deep,shallow,A
2032969,down,deep,deep,B
2032978,down,deep,deep,B
2032981,down,deep,deep,B
2032992,down,shallow,shallow,A
2032997,down,deep,deep,B
2032999,down,deep,deep,B
2033006,down,deep,deep,A
2034090,down,deep,deep,B
2034095,down,shallow,shallow,A
2034097,down,shallow,shallow,B
2034101,down,,shallow,B
2034103,down,shallow,deep,B
2034109,down,deep,deep,B
2034119,down,shallow,deep,A
2034126,down,shallow,deep,A
2034137,down,shallow,deep,B
2034147,down,deep,shallow,A
2034151,down,deep,deep,B
2034152,down,shallow,shallow,B
2034153,down,deep,deep,B
2034178,down,deep,shallow,A
2034181,down,deep,deep,A
2034184,down,shallow,deep,B
2034185,up,shallow,deep,B
2034193,down,deep,shallow,A
2034198,down,deep,shallow,B
